project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
CT 10 de Octubre power station,Central Termoeléctrica 10 de Octubre,6,6,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Camagüey,Cuba,operating,operating,1969,125,,MW,point,21.567,-77.272,,https://gem.wiki/CT_10_de_Octubre_power_station,operating
CTE Carlos Manuel de Céspedes power station,Central Termoeléctrica Carlos Manuel de Céspedes,3,3,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Cienfuegos,Cuba,operating,operating,1978,158,,MW,point,22.161,-80.456,,https://gem.wiki/CTE_Carlos_Manuel_de_Céspedes_power_station,operating
CTE Carlos Manuel de Céspedes power station,Central Termoeléctrica Carlos Manuel de Céspedes,4,4,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Cienfuegos,Cuba,operating,operating,1979,158,,MW,point,22.161,-80.456,,https://gem.wiki/CTE_Carlos_Manuel_de_Céspedes_power_station,operating
CTE Lidio Ramón Pérez power station,Central Termoeléctrica Lidio Ramón Pérez,1,1,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Holguín,Cuba,operating,operating,1996,250,,MW,point,20.727,-75.597,,https://gem.wiki/CTE_Lidio_Ramón_Pérez_power_station,operating
CTE Lidio Ramón Pérez power station,Central Termoeléctrica Lidio Ramón Pérez,2,2,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Holguín,Cuba,operating,operating,2000,230,,MW,point,20.727,-75.597,,https://gem.wiki/CTE_Lidio_Ramón_Pérez_power_station,operating
CTE Máximo Gómez power station,Central Termoeléctrica Máximo Gómez,4,4,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Artemisa,Cuba,retired,retired,1963,50,,MW,point,23.019,-82.749,,https://gem.wiki/CTE_Máximo_Gómez_power_station,retired
CTE Máximo Gómez power station,Central Termoeléctrica Máximo Gómez,5,5,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Artemisa,Cuba,operating,operating,1982,90,,MW,point,23.019,-82.749,,https://gem.wiki/CTE_Máximo_Gómez_power_station,operating
CTE Máximo Gómez power station,Central Termoeléctrica Máximo Gómez,6,6,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Artemisa,Cuba,operating,operating,1982,90,,MW,point,23.019,-82.749,,https://gem.wiki/CTE_Máximo_Gómez_power_station,operating
CTE Máximo Gómez power station,Central Termoeléctrica Máximo Gómez,7,7,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Artemisa,Cuba,operating,operating,1982,90,,MW,point,23.019,-82.749,,https://gem.wiki/CTE_Máximo_Gómez_power_station,operating
CTE Máximo Gómez power station,Central Termoeléctrica Máximo Gómez,8,8,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Artemisa,Cuba,operating,operating,1982,100,,MW,point,23.019,-82.749,,https://gem.wiki/CTE_Máximo_Gómez_power_station,operating
CTG González Ortega power station,Central TG González Ortega,1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,2021,41.3,,MW,point,32.567,-115.29,,https:/.gem.wiki/CTG_González_Ortega_power_station,operating
CTG González Ortega power station,Central TG González Ortega,2,2,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,2021,41.3,,MW,point,32.567,-115.29,,https:/.gem.wiki/CTG_González_Ortega_power_station,operating
CTG González Ortega power station,Central TG González Ortega,3,3,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,2021,41.3,,MW,point,32.567,-115.29,,https:/.gem.wiki/CTG_González_Ortega_power_station,operating
CTG González Ortega power station,Central TG González Ortega,4,4,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,2021,41.3,,MW,point,32.567,-115.29,,https:/.gem.wiki/CTG_González_Ortega_power_station,operating
CTG González Ortega power station,Central TG González Ortega,5,5,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,2021,41.3,,MW,point,32.567,-115.29,,https:/.gem.wiki/CTG_González_Ortega_power_station,operating
CTG González Ortega power station,Central TG González Ortega,6,6,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,2022,41.3,,MW,point,32.567,-115.29,,https:/.gem.wiki/CTG_González_Ortega_power_station,operating
CTG González Ortega power station,Central TG González Ortega,7,7,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,2022,41.3,,MW,point,32.567,-115.29,,https:/.gem.wiki/CTG_González_Ortega_power_station,operating
CTG González Ortega power station,Central TG González Ortega,8,8,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,2022,41.3,,MW,point,32.567,-115.29,,https:/.gem.wiki/CTG_González_Ortega_power_station,operating
