project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Valle Martin,Valle Martin,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,1.81,million boe/y,point,-45.859,-68.653,,https://www.gem.wiki/Valle_Martin_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Valle_Martin_Oil_and_Gas_Field_(Argentina)
Vega Pleyade (Estado Nacional),Vega Pleyade (Estado Nacional),,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,3.06,million boe/y,point,-53.395,-67.679,,https://www.gem.wiki/Vega_Pleyade_(Estado_Nacional)_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Vega_Pleyade_(Estado_Nacional)_Oil_and_Gas_Field_(Argentina)
Vega Pleyade (Tierra del Fuego),Vega Pleyade (Tierra del Fuego),,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,2010,,9.12,million boe/y,point,-53.395,-67.679,,https://www.gem.wiki/Vega_Pleyade_(Tierra_del_Fuego)_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Vega_Pleyade_(Tierra_del_Fuego)_Oil_and_Gas_Field_(Argentina)
Velasquez,Velasquez,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,1.11,million boe/y,point,6.131,-74.477,,https://www.gem.wiki/Velasquez_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Velasquez_Oil_and_Gas_Field_(Colombia)
Velero,Velero,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,,,1.30,million boe/y,point,26.576,-99.271,,https://www.gem.wiki/Velero_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Velero_Oil_and_Gas_Field_(Mexico)
Victor Hugo Ruales,Victor Hugo Ruales,,,oil_and_gas_extraction_area,,,,Ecuador,operating,operating,,,2.53,million boe/y,point,-0.47432,-86.978,,https://www.gem.wiki/Victor_Hugo_Ruales_Oil_and_Gas_Field_(Ecuador),https://www.gem.wiki/Victor_Hugo_Ruales_Oil_and_Gas_Field_(Ecuador)
Vigia Sur,Vigia Sur,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,0.67,million boe/y,point,4.936,-72.209,,https://www.gem.wiki/Vigia_Sur_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Vigia_Sur_Oil_and_Gas_Field_(Colombia)
Villano,Villano,,,oil_and_gas_extraction_area,Eni S.P.A. (100%),Eni S.P.A. (100%),,Ecuador,operating,operating,,,3.72,million boe/y,point,-1.4454,-77.442,,https://www.gem.wiki/Villano_Oil_and_Gas_Field_(Ecuador),https://www.gem.wiki/Villano_Oil_and_Gas_Field_(Ecuador)
Vizcacheras,Vizcacheras,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,1.69,million boe/y,point,-33.569,-68.414,,https://www.gem.wiki/Vizcacheras_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Vizcacheras_Oil_and_Gas_Field_(Argentina)
Volcan Auca Mahuida,Volcan Auca Mahuida,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.84,million boe/y,point,-37.701,-68.912,,https://www.gem.wiki/Volcan_Auca_Mahuida_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Volcan_Auca_Mahuida_Oil_and_Gas_Field_(Argentina)
Xanab,Xanab,,,oil_and_gas_extraction_area,PEMEX,Petroleos Mexicanos,,Mexico,operating,operating,,,35.02,million boe/y,point,18.538,-93.382,,https://www.gem.wiki/Xanab_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Xanab_Oil_and_Gas_Field_(Mexico)
Xux,Xux,,,oil_and_gas_extraction_area,PEMEX,Petroleos Mexicanos,,Mexico,operating,operating,2014,,30.81,million boe/y,point,18.684,-92.759,,https://www.gem.wiki/Xux_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Xux_Oil_and_Gas_Field_(Mexico)
Yagual,Yagual,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,,,0.82,million boe/y,point,18.208,-93.439,,https://www.gem.wiki/Yagual_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Yagual_Oil_and_Gas_Field_(Mexico)
Yaguara,Yaguara,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,0.67,million boe/y,point,2.617,-75.527,,https://www.gem.wiki/Yaguara_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Yaguara_Oil_and_Gas_Field_(Colombia)
Yaguazo,Yaguazo,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,0.36,million boe/y,point,5.556,-71.114,,https://www.gem.wiki/Yaguazo_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Yaguazo_Oil_and_Gas_Field_(Colombia)
Yapacani,Yapacani,,,oil_and_gas_extraction_area,YPFB (51%);Repsol (48.3%);Other (0.7%),YPFB (51%);Repsol SA (48.3%);Other (0.7%),,Bolivia,operating,operating,1993,,5.40,million boe/y,point,-17.017,-64.133,,https://www.gem.wiki/Yapacani_Oil_and_Gas_Field_(Bolivia),https://www.gem.wiki/Yapacani_Oil_and_Gas_Field_(Bolivia)
Yariguí-Cantagallo (Bolivar),Yariguí-Cantagallo (Bolivar),,,oil_and_gas_extraction_area,Ecopetrol S.A. (100%),Ecopetrol S.A. (100%),,Colombia,operating,operating,,,5.37,million boe/y,point,7.167,-73.84,,https://www.gem.wiki/Yariguí-Cantagallo_(Bolivar)_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Yariguí-Cantagallo_(Bolivar)_Oil_and_Gas_Field_(Colombia)
Yariguí-Cantagallo (Santander),Yariguí-Cantagallo (Santander),,,oil_and_gas_extraction_area,Ecopetrol S.A. (100%),Ecopetrol S.A. (100%),,Colombia,operating,operating,,,1.45,million boe/y,point,7.167,-73.84,,https://www.gem.wiki/Yariguí-Cantagallo_(Santander)_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Yariguí-Cantagallo_(Santander)_Oil_and_Gas_Field_(Colombia)
Yaxché,Yaxché,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,2006,,10.78,million boe/y,point,18.514,-93.276,,https://www.gem.wiki/Yaxché_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Yaxché_Oil_and_Gas_Field_(Mexico)
Yuca,Yuca,,,oil_and_gas_extraction_area,,,,Ecuador,operating,operating,,,1.26,million boe/y,point,-0.48812,-76.778,,https://www.gem.wiki/Yuca_Oil_and_Gas_Field_(Ecuador),https://www.gem.wiki/Yuca_Oil_and_Gas_Field_(Ecuador)
Yucal Placer,Yucal Placer,,,oil_and_gas_extraction_area,TotalEnergies (69.5%);Repsol;Inepetrol;Otepi,TotalEnergies (69.5%);Repsol SA (69.5%);Inepetrol (69.5%);Otepi S.A. (69.5%),,Venezuela,operating,operating,1950,,6.08,million boe/y,point,9.5405,-66.071,,https://www.gem.wiki/Yucal_Placer_Gas_Field_(Venezuela),https://www.gem.wiki/Yucal_Placer_Gas_Field_(Venezuela)
Yulebra,Yulebra,,,oil_and_gas_extraction_area,,,,Ecuador,operating,operating,,,2.85,million boe/y,point,-0.48465,-76.87,,https://www.gem.wiki/Yulebra_Oil_and_Gas_Field_(Ecuador),https://www.gem.wiki/Yulebra_Oil_and_Gas_Field_(Ecuador)
Yuralpa,Yuralpa,,,oil_and_gas_extraction_area,Petroamazonas EP (100%),PetroEcuador (100%),,Ecuador,operating,operating,2003,,1.97,million boe/y,point,-0.98887,-77.409,,https://www.gem.wiki/Yuralpa_Oil_and_Gas_Field_(Ecuador),https://www.gem.wiki/Yuralpa_Oil_and_Gas_Field_(Ecuador)
Zaap,Zaap,,,oil_and_gas_extraction_area,PEMEX (100%),Petroleos Mexicanos (100%),,Mexico,operating,operating,1992,,114.53,million boe/y,point,19.553,-92.237,,https://www.gem.wiki/Zaap_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Zaap_Oil_and_Gas_Field_(Mexico)
Zorro (Chubut),Zorro (Chubut),,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,5.30,million boe/y,point,-45.902,-68.54,,https://www.gem.wiki/Zorro_(Chubut)_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Zorro_(Chubut)_Oil_and_Gas_Field_(Argentina)
Água Grande,Água Grande,,,oil_and_gas_extraction_area,Petrobras (100%),Petrobras (100%);Petróleo Brasileiro S.A. (100%),,Brazil,operating,operating,1951,,,,point,-12.371,-38.344,,https://www.gem.wiki/Água_Grande_Oil_and_Gas_Field_(Brazil),https://www.gem.wiki/Água_Grande_Oil_and_Gas_Field_(Brazil)
Ébano Chapacao,Ébano Chapacao,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,,,1.57,million boe/y,point,22.436,-104.6,,https://www.gem.wiki/Ébano_Chapacao_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Ébano_Chapacao_Oil_and_Gas_Field_(Mexico)
