project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Limoncocha,Limoncocha,,,oil_and_gas_extraction_area,Petroamazonas EP (100%),PetroEcuador (100%),,Ecuador,operating,operating,,,1.09,million boe/y,point,-0.345,-76.672,,https://www.gem.wiki/Limoncocha_Oil_and_Gas_Field_(Ecuador),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Limoncocha_(Ecuador)
Lindero Atravesado Occidental,Lindero Atravesado Occidental,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,2.04,million boe/y,point,-38.646,-68.512,,https://www.gem.wiki/Lindero_Atravesado_Occidental_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Lindero_Atravesado_Occidental_(Argentina)
Lindero Atravesado Oriental,Lindero Atravesado Oriental,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,3.1,million boe/y,point,-38.739,-68.333,,https://www.gem.wiki/Lindero_Atravesado_Oriental_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Lindero_Atravesado_Oriental_(Argentina)
Lisama,Lisama,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,0.45,million boe/y,point,7.036,-73.555,,https://www.gem.wiki/Lisama_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Lisama_(Colombia)
Llancanelo,Llancanelo,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.51,million boe/y,point,-35.646,-69.22,,https://www.gem.wiki/Llancanelo_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Llancanelo_(Argentina)
Llanito Unificado,Llanito Unificado,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,1.42,million boe/y,point,7.167,-73.84,,https://www.gem.wiki/Llanito_Unificado_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Llanito_Unificado_(Colombia)
Loma Alta Sur,Loma Alta Sur,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.39,million boe/y,point,-35.988,-69.673,,https://www.gem.wiki/Loma_Alta_Sur_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Loma_Alta_Sur_(Argentina)
Loma Azul,Loma Azul,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.29,million boe/y,point,-38.233,-69.267,,https://www.gem.wiki/Loma_Azul_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Loma_Azul_(Argentina)
Loma Campana,Loma Campana,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,3.68,million boe/y,point,-38.354,-68.612,,https://www.gem.wiki/Loma_Campana_Oil_and_Gas_Field_(Argentina),https://gem.wiki/Campo_de_Petróleo_y_Gas_Loma_Campana_(Argentina)
Loma Campana-Lll,Loma Campana-Lll,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,2014,,13.57,million boe/y,point,-38.324,-68.831,,https://www.gem.wiki/Loma_Campana-Lll_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Loma_Campana-Lll_(Argentina)
